created_on,lat-lon,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,rooms,comuna,barrio_cod,place_with_parent_names_cod,operation_sell,property_type_PH,property_type_apartment,property_type_house,rooms_mean
2017-08-29,"-34.588912403,-58.4134942185",-34.588912403,-58.413494218500006,340000.0,130.0,120.0,2615.384615384615,4.0,14.0,20,43,1,0,1,0,4.0
2017-08-29,"-34.5950139,-58.4273915",-34.5950139,-58.42739150000001,180000.0,70.0,70.0,2571.428571428572,2.4220193589764083,14.0,20,43,1,0,1,0,2.4220193589764083
2017-08-30,"-34.5793535,-58.4364489",-34.5793535,-58.4364489,1200000.0,532.0,334.0,2255.639097744361,6.0,14.0,20,45,1,0,0,1,6.0
2017-08-30,"-34.5897765,-58.428558",-34.5897765,-58.428558,219000.0,72.0,72.0,3041.666666666666,3.0,14.0,20,46,1,1,0,0,3.0
2017-08-30,"-34.5711496,-58.4232966",-34.571149600000005,-58.4232966,119124.77,40.0,36.0,2978.11925,1.0,14.0,20,43,1,0,1,0,1.0
2017-08-31,"-34.5825677,-58.4329982",-34.58256770000001,-58.43299820000001,198000.0,64.0,48.0,3093.75,2.0,14.0,20,45,1,0,1,0,2.0
2017-09-01,"-34.57548904,-58.41962433",-34.57548904,-58.41962433,510000.0,239.0,127.0,2133.8912133891213,2.0,14.0,20,22,1,0,1,0,2.0
2017-09-02,"-34.5925314,-58.4178626",-34.5925314,-58.41786260000001,620000.0,230.0,198.0,2695.6521739130435,6.0,14.0,20,43,1,0,1,0,6.0
2017-09-03,"-34.5874885,-58.41578",-34.5874885,-58.41578000000001,345000.0,119.0,116.0,2899.1596638655465,4.013632080589477,14.0,20,43,1,0,1,0,4.013632080589477
2017-09-03,"-34.5933965,-58.4284618",-34.593396500000004,-58.4284618,154000.0,58.0,58.0,2655.172413793104,2.0,14.0,20,43,1,1,0,0,2.0
2017-09-03,"-34.5933965,-58.4284618",-34.593396500000004,-58.4284618,154000.0,58.0,58.0,2655.172413793104,3.0,14.0,20,43,1,1,0,0,3.0
2017-09-04,"-34.567097,-58.436086",-34.567097,-58.436086,594900.0,208.0,190.0,2860.0961538461547,6.0,14.0,20,43,1,0,0,1,6.0
2017-09-04,"-34.584294,-58.436469",-34.584294,-58.436469,80119.0,39.0,34.0,2054.333333333333,1.0,14.0,20,43,1,0,1,0,1.0
2017-09-04,"-34.584294,-58.436469",-34.584294,-58.436469,95085.0,43.0,37.0,2211.279069767442,1.0,14.0,20,43,1,0,1,0,1.0
2017-09-04,"-34.5972454,-58.4201324",-34.5972454,-58.4201324,140000.0,53.0,50.0,2641.509433962264,2.0,14.0,20,43,1,0,1,0,2.0
2017-09-04,"-34.5711496,-58.4232966",-34.571149600000005,-58.4232966,190000.0,66.0,61.0,2878.787878787879,2.0,14.0,20,43,1,0,1,0,2.0
2017-09-04,"-34.5972454,-58.4201324",-34.5972454,-58.4201324,105000.0,40.0,38.0,2625.0,1.0,14.0,20,43,1,0,1,0,1.0
2017-09-04,"-34.5711496,-58.4232966",-34.571149600000005,-58.4232966,640000.0,260.0,240.0,2461.538461538461,5.0,14.0,20,36,1,0,1,0,5.0
2017-09-05,"-34.5830704,-58.4241896",-34.5830704,-58.42418960000001,483000.0,214.0,202.0,2257.009345794393,6.989255864474779,14.0,20,45,1,0,1,0,6.989255864474779
2017-09-05,"-34.5960323,-58.4213575",-34.5960323,-58.42135749999999,270000.0,106.0,80.0,2547.169811320755,4.0,14.0,20,43,1,1,0,0,4.0
2017-09-05,"-34.5735693694,-58.4384186227",-34.5735693694,-58.438418622700006,260000.0,126.0,119.0,2063.492063492064,5.0,14.0,20,23,1,0,1,0,5.0
2017-09-05,"-34.5735693694,-58.4384186227",-34.5735693694,-58.438418622700006,260000.0,126.0,119.0,2063.492063492064,4.0,14.0,20,23,1,0,1,0,4.0
2017-09-05,"-34.5674228,-58.4347627",-34.5674228,-58.4347627,65000.0,22.0,20.0,2954.5454545454545,1.0,14.0,20,36,1,0,1,0,1.0
